NOT_EXISTING PUBLISH	AVG PUBLISH
	
0	0,014415984153748
0	0,01451721906662
0	0,013940131664276
0	0,014485654830933
0	0,014422268867493
AVG	0,014356251716614
	
5	0,015945029258728
5	0,015485453605652
5	0,015838415622711
5	0,015936841964722
5	0,015946774482727
AVG	0,015830502986908
	
10	0,017345995903015
10	0,01741952419281
10	0,017362866401672
10	0,017481560707092
10	0,017470993995667
AVG	0,017416188240051
	
20	0,020338525772095
20	0,020336840152741
20	0,020324790477753
20	0,020371220111847
20	0,020349795818329
AVG	0,020344234466553
	
30	0,023043522834778
30	0,023176891803742
30	0,023183262348175
30	0,023261713981629
30	0,023236081600189
AVG	0,023180294513702
	
40	0,02617538690567
40	0,025790758132935
40	0,02613195180893
40	0,026139607429504
40	0,026203887462616
AVG	0,026088318347931
	
50	0,029124245643616
50	0,029012494087219
50	0,029190623760223
50	0,029065067768097
50	0,029122045040131
AVG	0,029102895259857
	
60	0,031746107278411
60	0,031735577534155
60	0,031712163354933
60	0,031669019423809
60	0,031503684741935
AVG	0,031673310466648
	
70	0,034776155948639
70	0,034831433296204
70	0,034798994064331
70	0,034856097698212
70	0,034873371124268
AVG	0,034827210426331
	
80	0,037753150463104
80	0,037555508613587
80	0,037808949947357
80	0,037619690895081
80	0,037829155921936
AVG	0,037713291168213
	
90	0,040779948234558
90	0,040864040851593
90	0,041118807792664
90	0,040710394382477
90	0,040755825042725
AVG	0,040845803260803
	
100	0,043580439090729
100	0,04361181974411
100	0,043444576263428
100	0,043615469932556
100	0,043674960136414
AVG	0,043585453033447
